Gender,Age,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
Female,49,32,mising,Yes,No,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,61.4,0.0,0,1493.12,3357.77,Stayed,mising,mising
Male,63,25,mising,Yes,No,Yes,DSL,No,Yes,No,No,No,No,Yes,One Year,Credit Card,53.65,0.0,0,904.25,2259.7,Stayed,mising,mising
Male,56,13,Offer D,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.75,0.0,0,131.43,397.18,Stayed,mising,mising
Male,42,67,Offer A,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Two Year,Bank Withdrawal,54.2,0.0,10,730.3,4578.5,Stayed,mising,mising
Male,77,66,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Bank Withdrawal,108.45,0.0,0,1438.14,8514.49,Stayed,mising,mising
Female,61,4,mising,Yes,No,Yes,Cable,Yes,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,50.3,0.0,0,178.56,395.66,Stayed,mising,mising
Female,50,50,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Bank Withdrawal,80.05,0.0,0,2459.0,6501.2,Stayed,mising,mising
Female,58,60,Offer B,No,mising,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,50.8,0.0,0,0.0,3027.4,Churned,Competitor,Competitor offered more data
Male,47,64,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,104.65,0.0,0,1660.8,8550.6,Stayed,mising,mising
Female,64,59,Offer B,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,24.45,0.0,0,2432.57,3925.67,Stayed,mising,mising
Male,55,51,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Bank Withdrawal,83.4,29.76,30,2341.92,6491.61,Stayed,mising,mising
Female,37,1,mising,Yes,No,Yes,Cable,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,45.3,0.0,0,26.41,71.71,Churned,Competitor,Competitor had better devices
Female,54,10,Offer D,Yes,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,One Year,Credit Card,64.9,0.0,0,374.5,1060.05,Stayed,mising,mising
Female,25,17,mising,Yes,No,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Credit Card,55.35,0.0,0,343.91,1264.41,Stayed,mising,mising
Female,46,18,mising,No,mising,Yes,Cable,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,39.05,0.0,0,0.0,669.85,Churned,Dissatisfaction,Lack of self-service on Website
Female,39,58,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,109.45,0.0,0,1623.42,7767.97,Churned,Dissatisfaction,Product dissatisfaction
Female,32,59,Offer B,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,100.05,0.0,0,2699.25,8734.1,Stayed,mising,mising
Female,45,24,mising,Yes,No,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Credit Card,56.35,0.0,0,724.32,2105.52,Stayed,mising,mising
Female,21,47,Offer B,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,19.65,0.0,0,2157.3,3078.85,Stayed,mising,mising
Female,33,3,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Credit Card,91.5,0.0,10,94.83,347.78,Churned,Competitor,Competitor offered higher download speeds
Female,28,55,mising,Yes,No,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Two Year,Credit Card,56.8,0.0,0,129.8,3241.85,Stayed,mising,mising
Male,77,43,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,110.75,0.0,0,624.36,5312.26,Churned,Competitor,Competitor made better offer
Female,49,1,Offer E,Yes,No,Yes,Cable,No,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,45.95,0.0,0,46.17,92.12,Churned,Competitor,Competitor had better devices
Male,30,11,mising,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,73.5,0.0,0,427.68,1219.43,Churned,Competitor,Competitor made better offer
Female,61,60,mising,No,mising,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,53.6,0.0,0,0.0,3237.05,Stayed,mising,mising
Male,20,72,mising,No,mising,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,67.2,0.0,0,0.0,4671.7,Stayed,mising,mising
Female,55,69,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,25.6,28.09,0,1447.62,3092.93,Stayed,mising,mising
Male,73,29,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Two Year,Bank Withdrawal,84.3,0.0,0,1065.75,3423.5,Stayed,mising,mising
Female,22,71,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Bank Withdrawal,89.9,0.0,150,2667.47,9160.17,Stayed,mising,mising
Female,22,48,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,105.1,0.0,0,1884.0,6967.55,Stayed,mising,mising
Male,50,36,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,95.0,0.0,0,215.64,3655.89,Stayed,mising,mising
Female,40,50,Offer B,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,75.7,0.0,0,473.5,4349.7,Stayed,mising,mising
Male,59,31,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,20.45,0.0,0,1071.67,1710.22,Stayed,mising,mising
Male,48,63,Offer B,No,mising,Yes,DSL,Yes,No,Yes,No,No,No,Yes,One Year,Bank Withdrawal,40.6,0.0,0,0.0,2588.95,Stayed,mising,mising
Male,41,54,Offer B,No,mising,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,Two Year,Credit Card,46.0,0.0,90,0.0,2514.05,Stayed,mising,mising
Female,62,56,Offer B,Yes,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Yes,One Year,Bank Withdrawal,65.2,0.0,0,2224.32,5736.47,Stayed,mising,mising
Female,64,43,mising,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,86.45,0.0,0,906.44,4480.94,Stayed,mising,mising
Male,27,25,mising,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,105.5,0.0,0,260.0,2946.05,Stayed,mising,mising
Male,73,25,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Credit Card,105.95,0.0,0,1158.5,3813.75,Churned,Price,Price too high
Female,22,62,Offer B,Yes,No,Yes,Cable,Yes,Yes,No,Yes,No,No,Yes,Two Year,Credit Card,72.0,0.0,0,397.42,4681.62,Stayed,mising,mising
Male,62,49,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Credit Card,90.4,0.0,0,575.26,5069.91,Stayed,mising,mising
Male,47,8,Offer E,No,mising,Yes,Cable,Yes,No,No,No,No,No,No,Month-to-Month,Credit Card,29.35,0.0,10,0.0,226.45,Stayed,mising,mising
Female,34,1,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,69.8,0.0,0,11.08,80.88,Churned,Dissatisfaction,Service dissatisfaction
Male,75,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Mailed Check,114.5,0.0,0,403.2,8735.15,Stayed,mising,mising
Female,37,63,Offer B,Yes,No,Yes,DSL,Yes,No,No,No,No,No,Yes,Two Year,Bank Withdrawal,50.65,37.04,0,1595.16,4779.37,Stayed,mising,mising
Male,44,54,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Credit Card,89.4,0.0,0,1907.28,6776.78,Stayed,mising,mising
Female,22,33,Offer C,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Mailed Check,103.7,0.0,0,1373.13,4840.13,Churned,Competitor,Competitor had better devices
Male,39,31,mising,Yes,Yes,Yes,Cable,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,71.05,0.0,0,198.4,2366.55,Stayed,mising,mising
Male,51,10,Offer D,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,98.55,0.0,0,275.7,1284.25,Churned,Competitor,Competitor made better offer
Female,52,59,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Credit Card,109.15,0.0,0,2387.73,8945.48,Stayed,mising,mising
Female,46,9,mising,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,93.0,0.0,0,378.9,1249.15,Stayed,mising,mising
Female,76,10,mising,No,mising,Yes,Cable,No,No,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,29.65,0.0,110,0.0,401.4,Churned,Other,Don't know
Male,62,1,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,19.95,0.0,0,17.61,37.56,Churned,Attitude,Attitude of support person
Male,55,4,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Credit Card,19.95,0.0,0,139.44,198.69,Stayed,mising,mising
Male,68,38,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Two Year,Bank Withdrawal,94.75,45.82,0,1784.48,5391.66,Stayed,mising,mising
Female,44,16,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.1,0.0,0,608.32,1821.17,Stayed,mising,mising
Male,32,67,Offer A,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,19.95,0.0,0,1026.44,2338.19,Stayed,mising,mising
Female,49,20,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.7,0.0,0,317.4,724.35,Stayed,mising,mising
Female,23,64,mising,Yes,No,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Mailed Check,74.35,0.0,0,1153.92,5913.47,Stayed,mising,mising
Male,35,28,mising,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Yes,One Year,Bank Withdrawal,92.9,0.0,0,765.52,3533.87,Stayed,mising,mising
Female,35,71,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,One Year,Credit Card,95.15,0.0,0,2451.63,9222.48,Stayed,mising,mising
Female,48,21,mising,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,104.55,0.0,0,762.51,3001.91,Stayed,mising,mising
Male,27,31,Offer C,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,One Year,Bank Withdrawal,98.05,0.0,0,1131.19,4213.29,Stayed,mising,mising
Male,57,37,mising,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,55.05,0.0,0,1014.17,3044.92,Stayed,mising,mising
Male,51,68,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,110.2,0.0,0,1255.96,8723.46,Stayed,mising,mising
Female,26,34,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Month-to-Month,Bank Withdrawal,85.35,0.0,0,800.36,3696.96,Stayed,mising,mising
Female,30,9,Offer E,No,mising,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Mailed Check,58.5,0.0,0,0.0,539.85,Churned,Competitor,Competitor offered higher download speeds
Female,33,28,Offer C,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Month-to-Month,Credit Card,49.9,0.0,0,1159.48,2569.73,Stayed,mising,mising
Female,32,11,Offer D,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,20.9,0.0,0,27.72,230.02,Stayed,mising,mising
Female,37,2,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.8,0.0,0,48.62,209.37,Churned,Competitor,Competitor had better devices
Male,27,17,mising,Yes,No,Yes,Cable,No,No,No,No,No,No,Yes,One Year,Credit Card,44.6,0.0,0,221.34,902.74,Stayed,mising,mising
Male,38,69,mising,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,106.35,0.0,0,2960.1,10221.85,Stayed,mising,mising
Male,23,37,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Yes,Two Year,Credit Card,94.3,0.0,0,485.81,3946.76,Stayed,mising,mising
Male,73,4,Offer E,No,mising,Yes,DSL,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,25.2,0.0,0,0.0,102.5,Churned,Dissatisfaction,Poor expertise of online support
Male,64,1,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Credit Card,90.85,0.0,0,8.56,99.41,Churned,Competitor,Competitor made better offer
Female,50,72,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,108.5,0.0,0,2767.68,10771.48,Stayed,mising,mising
Male,26,8,mising,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.75,0.0,0,177.12,936.67,Stayed,mising,mising
Female,19,49,mising,No,mising,Yes,Cable,Yes,No,Yes,No,No,No,Yes,One Year,Credit Card,35.8,0.0,0,0.0,1782.0,Stayed,mising,mising
Male,27,27,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.85,0.0,0,1286.55,1756.55,Stayed,mising,mising
Male,22,4,mising,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Credit Card,65.55,0.0,0,53.24,290.44,Stayed,mising,mising
Male,28,72,mising,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,108.95,0.0,0,1530.72,9405.72,Stayed,mising,mising
Male,37,67,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,105.4,0.0,0,2611.66,9601.11,Stayed,mising,mising
Female,27,9,mising,Yes,No,Yes,Cable,No,No,Yes,Yes,No,No,No,Month-to-Month,Mailed Check,66.25,0.0,10,223.29,853.84,Churned,Dissatisfaction,Network reliability
Female,48,4,mising,Yes,No,Yes,Cable,No,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,46.0,0.0,0,60.28,253.88,Churned,Dissatisfaction,Lack of self-service on Website
Male,56,22,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Credit Card,78.85,0.0,50,667.7,2317.95,Stayed,mising,mising
Female,64,48,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,One Year,Bank Withdrawal,75.15,0.0,0,1980.48,5753.13,Stayed,mising,mising
Female,34,47,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,20.55,0.0,0,2100.43,3046.13,Stayed,mising,mising
Female,49,66,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,Two Year,Bank Withdrawal,66.9,0.0,70,2930.4,7370.65,Stayed,mising,mising
Female,28,37,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,20.3,0.0,0,378.51,1133.91,Stayed,mising,mising
Male,71,1,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,95.1,0.0,0,4.89,99.99,Churned,Price,Price too high
Male,80,22,mising,No,mising,Yes,Cable,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Mailed Check,40.05,0.0,0,0.0,880.2,Churned,Other,Moved
Female,59,56,mising,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,Yes,Two Year,Credit Card,61.3,0.0,0,1063.44,4410.24,Stayed,mising,mising
Female,30,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,112.75,0.0,0,2537.28,10729.88,Stayed,mising,mising
Male,32,10,Offer D,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,95.1,43.25,0,456.9,1278.75,Stayed,mising,mising
Male,24,9,mising,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Credit Card,69.5,0.0,0,309.87,963.12,Stayed,mising,mising
Female,31,35,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,19.25,0.0,0,1323.35,1941.0,Stayed,mising,mising
Male,75,1,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,69.5,0.0,80,41.2,190.7,Churned,Price,Price too high
Male,73,54,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.0,0.0,0,1898.64,5817.79,Stayed,mising,mising
Female,68,1,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,85.7,0.0,0,45.81,131.51,Churned,Competitor,Competitor had better devices
Male,52,63,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,104.75,0.0,0,3071.25,9607.75,Stayed,mising,mising
Female,72,53,Offer B,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,One Year,Credit Card,96.75,0.0,0,1832.74,7039.29,Stayed,mising,mising
Female,39,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.7,0.0,0,9.05,84.75,Churned,Attitude,Attitude of support person
Male,43,67,mising,Yes,No,Yes,Cable,Yes,No,Yes,No,No,No,Yes,One Year,Credit Card,60.05,0.0,0,437.51,4431.56,Stayed,mising,mising
Female,56,71,mising,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,83.3,37.44,0,952.11,6809.17,Stayed,mising,mising
Female,21,42,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,One Year,Credit Card,94.45,0.0,140,267.54,4331.34,Stayed,mising,mising
Female,39,12,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,25.25,0.0,0,475.08,749.78,Stayed,mising,mising
Male,66,57,mising,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Yes,One Year,Bank Withdrawal,90.65,0.0,0,2657.34,7857.14,Stayed,mising,mising
Male,50,35,Offer C,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Yes,One Year,Bank Withdrawal,89.7,0.0,0,53.55,3219.15,Stayed,mising,mising
Male,64,33,mising,No,mising,Yes,Cable,Yes,No,Yes,No,No,No,Yes,One Year,Credit Card,34.05,0.0,0,0.0,1113.95,Stayed,mising,mising
Male,60,62,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,24.8,0.0,0,1021.76,2498.01,Stayed,mising,mising
Male,53,25,Offer C,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.3,40.54,0,432.5,2344.21,Stayed,mising,mising
Female,56,26,mising,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Credit Card,85.9,0.0,0,1098.76,3295.21,Stayed,mising,mising
Female,56,39,mising,No,mising,Yes,DSL,No,Yes,No,No,No,No,No,Month-to-Month,Credit Card,30.1,0.0,150,0.0,1281.3,Churned,Dissatisfaction,Network reliability
Female,55,34,mising,Yes,No,Yes,DSL,Yes,No,No,No,Yes,Yes,Yes,One Year,Bank Withdrawal,64.35,46.39,0,1549.04,3555.7,Stayed,mising,mising
Female,32,49,mising,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,87.2,0.0,0,1620.43,5965.43,Stayed,mising,mising
Male,50,19,mising,No,mising,Yes,DSL,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,39.65,0.0,0,0.0,733.35,Churned,Competitor,Competitor had better devices
Male,64,17,mising,Yes,No,Yes,DSL,Yes,No,No,No,No,No,Yes,Month-to-Month,Credit Card,55.5,0.0,0,572.56,1506.71,Stayed,mising,mising
Male,56,53,Offer B,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Credit Card,80.6,39.45,90,2608.13,7006.78,Stayed,mising,mising
Male,41,70,Offer A,Yes,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Credit Card,67.95,0.0,0,1745.1,6409.25,Stayed,mising,mising
Female,47,2,Offer E,Yes,No,Yes,DSL,No,No,Yes,No,No,No,Yes,Month-to-Month,Credit Card,55.05,0.0,0,85.1,187.85,Churned,Competitor,Competitor had better devices
Male,26,28,mising,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,91.0,0.0,0,1266.72,3892.87,Stayed,mising,mising
Male,44,27,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,20.3,0.0,0,584.82,1179.87,Stayed,mising,mising
Male,22,72,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Two Year,Credit Card,90.8,0.0,60,1706.4,8278.2,Stayed,mising,mising
Female,20,7,mising,No,mising,Yes,DSL,No,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,-7.0,0.0,0,0.0,149.05,Stayed,mising,mising
Female,68,31,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Two Year,Bank Withdrawal,84.85,0.0,0,164.3,2797.7,Stayed,mising,mising
Female,46,33,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,104.4,0.0,0,373.56,3783.16,Churned,Dissatisfaction,Service dissatisfaction
Male,60,68,Offer A,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,24.0,0.0,0,184.28,1848.58,Stayed,mising,mising
Male,40,32,mising,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,91.05,0.0,0,1513.6,4385.1,Stayed,mising,mising
Male,31,4,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Mailed Check,19.0,0.0,0,80.64,159.54,Stayed,mising,mising
Male,51,64,Offer B,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Credit Card,100.3,0.0,0,636.8,7240.6,Stayed,mising,mising
Male,48,26,mising,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,85.75,0.0,0,1049.1,3195.6,Stayed,mising,mising
Male,74,71,Offer A,No,mising,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,Two Year,Credit Card,46.35,18.64,0,0.0,3334.76,Stayed,mising,mising
Male,40,13,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,80.85,0.0,0,163.02,1171.72,Churned,Competitor,Competitor made better offer
Female,64,41,mising,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,98.8,27.09,0,420.66,4352.72,Stayed,mising,mising
Male,47,8,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,86.55,0.0,0,198.08,847.73,Churned,Attitude,Attitude of service provider
Female,53,41,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.85,0.0,0,95.12,905.57,Stayed,mising,mising
Female,33,47,Offer B,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,74.45,0.0,0,163.09,3673.39,Stayed,mising,mising
Female,62,29,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.95,0.0,0,156.31,2305.36,Stayed,mising,mising
Male,65,8,Offer E,No,mising,Yes,DSL,No,Yes,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,29.4,0.0,0,0.0,221.9,Churned,Competitor,Competitor had better devices
Female,38,57,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,112.95,0.0,0,2785.02,9250.02,Churned,Competitor,Competitor offered higher download speeds
Female,27,42,Offer B,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,59.65,0.0,0,927.36,3463.91,Stayed,mising,mising
Female,30,57,mising,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,87.55,1.83,0,1611.39,6494.41,Stayed,mising,mising
Male,69,1,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.7,0.0,0,11.34,86.04,Churned,Competitor,Competitor had better devices
Male,24,45,Offer B,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,20.35,0.0,0,1756.35,2685.55,Stayed,mising,mising
Male,36,54,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,79.85,0.0,0,412.56,4720.81,Stayed,mising,mising
Male,72,33,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,94.5,0.0,0,916.74,4022.29,Churned,Dissatisfaction,Poor expertise of online support
